ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON
HG;200386/26;4;;;20260131;20260131;4E3581E67B;D9228ACE74;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;6;31942;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200386/26;5;;;20260131;20260131;4E3581E67B;D9228ACE74;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;6;42441;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200387/26;1;;;20260131;20260131;4E3581E67B;2782224F40;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;5;4967;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200387/26;2;;;20260131;20260131;4E3581E67B;2782224F40;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;12;19715;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200387/26;3;;;20260131;20260131;4E3581E67B;2782224F40;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;10;22925;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200387/26;4;;;20260131;20260131;4E3581E67B;2782224F40;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;5;4203;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200387/26;5;;;20260131;20260131;4E3581E67B;2782224F40;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;8;6725;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200387/26;6;;;20260131;20260131;4E3581E67B;2782224F40;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;7;5884;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200388/26;1;;;20260131;20260131;4E3581E67B;BF858F0E61;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;6;6877;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200389/26;1;;;20260131;20260131;4E3581E67B;11C6EBBCF4;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;4;8406;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200389/26;2;;;20260131;20260131;4E3581E67B;11C6EBBCF4;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;2;2292;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200389/26;3;;;20260131;20260131;4E3581E67B;11C6EBBCF4;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;2;1681;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200390/26;1;;;20260131;20260131;4E3581E67B;B3BC7FEE01;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;16;64189;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200391/26;1;;;20260131;20260131;4E3581E67B;1ADC900ECA;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;9;13755;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200392/26;1;;;20260131;20260131;4E3581E67B;4E32AEC4DD;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;8;13755;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200392/26;2;;;20260131;20260131;4E3581E67B;4E32AEC4DD;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;8;9170;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200392/26;3;;;20260131;20260131;4E3581E67B;4E32AEC4DD;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;3;4814;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200393/26;1;;;20260131;20260131;4E3581E67B;BF9B08DCEA;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;122;293667;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200393/26;2;;;20260131;20260131;4E3581E67B;BF9B08DCEA;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;17;55860;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200393/26;3;;;20260131;20260131;4E3581E67B;BF9B08DCEA;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;40;53491;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200393/26;4;;;20260131;20260131;4E3581E67B;BF9B08DCEA;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;16;33623;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200394/26;1;;;20260131;20260131;4E3581E67B;BCAAF5C0D6;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;35;54828;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200394/26;2;;;20260131;20260131;4E3581E67B;BCAAF5C0D6;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;16;16506;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200395/26;1;;;20260131;20260131;4E3581E67B;9A7046D874;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;178;526384;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200395/26;2;;;20260131;20260131;4E3581E67B;9A7046D874;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;49;297831;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200395/26;3;;;20260131;20260131;4E3581E67B;9A7046D874;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;227;215096;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200395/26;4;;;20260131;20260131;4E3581E67B;9A7046D874;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;94;216013;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
