ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON;Unnamed: 39;Unnamed: 40;Unnamed: 41
HG;0/0;16;;;20260109;20260109;4E3581E67B;1548BD2BF9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;3;0;40500;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;17;;;20260109;20260109;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;0;32400;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;18;;;20260109;20260109;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;0;32400;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;200209/26;1;;;20260109;20260109;4E3581E67B;C0EADC1740;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;26974;24300;;EUR;PLN;385.90;510620;;PL;;;9832C7853A;68;;;
HG;200209/26;2;;;20260109;20260109;4E3581E67B;C0EADC1740;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;26974;24300;;EUR;PLN;385.90;510620;;PL;;;9832C7853A;68;;;
HG;200210/26;1;;;20260109;20260109;4E3581E67B;ABBE3311A6;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;3;53949;48600;;EUR;PLN;385.90;510620;;PL;;;9832C7853A;68;;;
HG;200210/26;2;;;20260109;20260109;4E3581E67B;ABBE3311A6;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;3;53949;48600;;EUR;PLN;385.90;510620;;PL;;;9832C7853A;68;;;
HG;0/0;19;;;20260109;20260109;4E3581E67B;856887D030;;PL03;;;;PL/21;;;;;;;1;1;9005;9005;3;0;48600;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;20;;;20260109;20260109;4E3581E67B;856887D030;;PL03;;;;PL/21;;;;;;;1;1;9005;9005;30;0;14580;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;21;;;20260110;20260110;C715F0FC4C;95432F7046;;PL03;;;;PL/0;;;;;;;1;1;9005;9005;21;0;199799;;PLN;PLN;1;111001;;PL;;;CAC7A4FAFC;10;;;
